article_doi,data_id
10.1021/om4004384,10.5517/cc10zzwv
10.1021/om4004384,10.5517/cc10zzyx
10.1021/om4004384,10.5517/cc10zzvt
10.1021/om5004732,10.5517/cc12l4zs
10.1021/om5004732,10.5517/cc12l50v
10.1021/om5004732,10.5517/cc12l51w
10.1039/c5sc03111g,10.5517/cc14csx6
10.1039/c5sc03111g,10.5517/cc14csy7
10.1039/c5sc03111g,10.5517/cc14csz8
10.1039/c5sc03111g,10.5517/cc14csw5
10.1039/c5sc03111g,10.5517/cc14ct0b
10.1140/epjc/s10052-016-4126-5,10.17182/hepdata.72257
10.1140/epjc/s10052-016-4126-5,10.17182/hepdata.71220
10.1140/epjc/s10052-016-4126-5,10.17182/hepdata.71220.v1
10.1140/epjc/s10052-016-4126-5,10.17182/hepdata.72257.v1
10.1186/s12888-017-1287-1,10.6084/m9.figshare.c.3742370
10.1039/c003764h,10.5517/ccts9rm
10.1039/c003764h,10.5517/ccts9vq
10.1039/c003764h,10.5517/ccts9tp
10.1039/c003764h,10.5517/ccts9sn
10.1002/chem.200700247,10.5517/ccpcfbs
10.1002/chem.200700247,10.5517/ccpcfdv
10.1002/chem.200700247,10.5517/ccpcfct
10.1002/chem.200700247,10.5517/ccpcf9r
10.1002/chem.200700247,10.5517/ccb1t7d
10.1021/cg301244x,10.5517/ccyx7cf
10.1021/cg301244x,10.5517/ccyx79c
10.1021/cg301244x,10.5517/ccyx78b
10.1021/cg301244x,10.5517/ccyx7bd
10.1039/c0cc01188f,10.5517/ccvb4z8
10.1039/c0cc01188f,10.5517/ccvb50b
10.1098/rspb.2017.0194,10.6084/m9.figshare.c.3740174.v2
10.1098/rspb.2017.0194,10.6084/m9.figshare.c.3740174.v1
10.1098/rspb.2017.0194,10.6084/m9.figshare.c.3740174
10.1038/nature13901,4ras
10.1039/c5dt03835a,10.5517/cc14jr8p
10.1039/c5dt03835a,10.5517/cc12xjk2
10.1039/c5dt03835a,10.5517/cc12xjm4
10.1002/anie.201205052,10.5517/ccym2qb
10.3762/bjoc.8.64,10.5517/ccy3djy
10.3762/bjoc.8.64,10.5517/ccy3dgw
10.3762/bjoc.8.64,10.5517/ccy3dkz
10.3762/bjoc.8.64,10.5517/ccy3dfv
10.3762/bjoc.8.64,10.5517/ccy3dhx
10.3762/bjoc.8.64,10.5517/ccy3dl0
10.1140/epjc/s10052-012-2215-7,10.17182/hepdata.59787.v1
10.1140/epjc/s10052-012-2215-7,10.17182/hepdata.59787
10.1140/epjc/s10052-012-2215-7,10.17182/hepdata.60276.v1
10.1140/epjc/s10052-012-2215-7,10.17182/hepdata.60276
10.1002/chem.201102366,10.5517/ccx2l0k
10.1140/epjc/s10052-013-2604-6,10.17182/hepdata.62093.v1
10.1140/epjc/s10052-013-2604-6,10.17182/hepdata.62093
10.1140/epjc/s10052-013-2604-6,10.17182/hepdata.61608.v1
10.1140/epjc/s10052-013-2604-6,10.17182/hepdata.61608
10.1055/s-0033-1341081,10.5517/cc11zylk
10.1016/j.physletb.2004.08.048,10.17182/hepdata.53981.v1
10.1016/j.physletb.2004.08.048,10.17182/hepdata.54034.v1
10.1016/j.physletb.2004.08.048,10.17182/hepdata.53981
10.1016/j.physletb.2004.08.048,10.17182/hepdata.54034
10.1140/epjc/s10052-016-3910-6,10.17182/hepdata.75528
10.1140/epjc/s10052-016-3910-6,10.17182/hepdata.75528.v1
10.1002/anie.200503335,10.5517/cc9gpt7
10.1002/anie.200503335,10.5517/cc9gpv8
10.1016/j.physletb.2015.07.037,10.17182/hepdata.64486.v1
10.1016/j.physletb.2015.07.037,10.17182/hepdata.64486
10.1016/j.physletb.2015.07.037,10.17182/hepdata.64886.v1
10.1016/j.physletb.2015.07.037,10.17182/hepdata.63760
10.1016/j.physletb.2015.07.037,10.17182/hepdata.63760.v1
10.1016/j.physletb.2015.07.037,10.17182/hepdata.64886
10.1021/ic700984r,10.5517/ccqwrq1
10.1021/ic700984r,10.5517/ccqwrkw
10.1021/ic700984r,10.5517/ccqwrfr
10.1021/ic700984r,10.5517/ccqwrmy
10.1021/ic700984r,10.5517/ccqwrjv
10.1021/ic700984r,10.5517/ccqwrr2
10.1021/ic700984r,10.5517/ccqwrgs
10.1021/ic700984r,10.5517/ccqwrp0
10.1021/ic700984r,10.5517/cc71p97
10.1021/ic700984r,10.5517/ccqwrdq
10.1021/ja208367k,10.5517/ccx9017
10.1021/ja208367k,10.5517/ccx8zx1
10.1021/ja208367k,10.5517/ccx909h
10.1021/ja208367k,10.5517/ccx904b
10.1021/ja208367k,10.5517/ccx8zrw
10.1021/ja208367k,10.5517/ccx8zqv
10.1021/ja208367k,10.5517/ccx908g
10.1021/ja208367k,10.5517/ccx8zy2
10.1021/ja208367k,10.5517/ccx8zw0
10.1021/ja208367k,10.5517/ccx8zz3
10.1021/ic2013478,10.5517/ccxrmmw
10.1021/ic2013478,10.5517/ccxrmlv
10.1080/13697137.2017.1301919,10.6084/m9.figshare.4775713
10.1080/13697137.2017.1301919,10.6084/m9.figshare.4775713.v1
10.1021/ja002117t,10.5517/cc56n33
10.1021/ja002117t,10.5517/cc56n44
10.1021/ja002117t,10.5517/cc56n55
10.1021/ja002117t,10.5517/cc56n22
10.1021/cg201569m,10.5517/ccygskq
10.1021/cg201569m,10.5517/ccx0lfx
10.1021/cg201569m,10.5517/ccx0ldw
10.1021/cg201569m,10.5517/ccx0l8r
10.1021/cg201569m,10.5517/ccx0l7q
10.1021/cg201569m,10.5517/ccygsjp
10.1021/cg201569m,10.5517/ccygshn
10.1021/cg201569m,10.5517/ccygslr
10.1186/s13012-017-0590-z,10.6084/m9.figshare.c.3777719
10.1039/b004182n,10.5517/cc51t11
10.1039/b004182n,10.5517/cc51t33
10.1039/b004182n,10.5517/cc51t22
10.1016/j.physletb.2010.10.021,10.17182/hepdata.65127
10.1016/j.physletb.2010.10.021,10.17182/hepdata.57022.v1
10.1016/j.physletb.2010.10.021,10.17182/hepdata.57022
10.1016/j.physletb.2010.10.021,10.17182/hepdata.65127.v1
10.1016/0370-2693(84)90490-8,10.17182/hepdata.30600.v1
10.1016/0370-2693(84)90490-8,10.17182/hepdata.30600
10.1016/j.tetlet.2015.01.082,10.5517/cc13qpn5
10.1016/j.tetlet.2015.01.082,10.5517/cc13qpm4
10.1002/anie.200390034,10.5517/cc6fd99
10.1002/anie.200390034,10.5517/cc6fdbb
10.1002/anie.200390034,10.5517/cc6fddd
10.1002/anie.200390034,10.5517/cc6fd77
10.1002/anie.200390034,10.5517/cc6fd88
10.1002/anie.200390034,10.5517/cc6fdcc
10.1140/epjc/s10052-015-3726-9,10.17182/hepdata.69366
10.1140/epjc/s10052-015-3726-9,10.17182/hepdata.69366.v1
10.1140/epjc/s10052-015-3726-9,10.17182/hepdata.68675
10.1140/epjc/s10052-015-3726-9,10.17182/hepdata.72845.v1
10.1140/epjc/s10052-015-3726-9,10.17182/hepdata.72845
10.1140/epjc/s10052-015-3726-9,10.17182/hepdata.68675.v1
10.1039/c0ce00628a,10.5517/ccvmd2x
10.1039/c0ce00628a,10.5517/ccvmd1w
10.1039/c0ce00628a,10.5517/ccvmd3y
10.1039/c0ce00628a,10.5517/ccvmd4z
10.1002/ejic.200400174,10.5517/cc79k9c
10.1002/ejic.200400174,10.5517/cc79k8b
10.1002/ejic.200400174,10.5517/cc79kbd
10.1021/ja065845a,10.5517/ccp7h9p
10.1371/journal.pone.0018927,10.5061/dryad.p7h802r0
10.1039/c0dt01014f,10.5517/ccvhgyq
10.1039/c0dt01014f,10.5517/ccvhgzr
10.1039/c0dt01014f,10.5517/ccvhgwn
10.1039/c0dt01014f,10.5517/ccvhgtl
10.1039/c0dt01014f,10.5517/ccvhgxp
10.1039/c0dt01014f,10.5517/ccvhgrj
10.1039/c0dt01014f,10.5517/ccvhgsk
10.1039/c0dt01014f,10.5517/ccvhgvm
10.1021/om901074b,10.5517/ccw94y7
10.1021/om901074b,10.5517/ccw94v4
10.1021/om901074b,10.5517/ccw950b
10.1021/om901074b,10.5517/ccw94w5
10.1021/om901074b,10.5517/ccw94z8
10.1021/om901074b,10.5517/ccw94x6
10.1039/b715317c,10.5517/ccq1n9p
10.1039/b715317c,10.5517/ccq1nbq
10.1039/c3cc42300j,10.5517/ccz0t1t
10.1039/c3cc42300j,10.5517/ccz0sxn
10.1039/c3cc42300j,10.5517/ccz0swm
10.1039/c3cc42300j,10.5517/ccz0szq
10.1039/c3cc42300j,10.5517/ccz0t2v
10.1039/c3cc42300j,10.5517/ccz0t0s
10.1039/c3cc42300j,10.5517/ccz0syp
10.1039/c3cc42300j,10.5517/cczrnjw
10.1039/c3cc42300j,10.5517/ccz0svl
10.1039/c1cc16173c,10.5517/ccx4m9y
10.1039/b203437a,10.5517/cc654xd
10.1002/anie.201510236,10.5517/cc1k3jqx
10.1002/anie.201510236,10.5517/cc1k3jry
10.1037/a0022377,10.3886/icpsr03792.v7
10.1021/ic025593o,10.5517/cc6lh19
10.1021/ic025593o,10.5517/cc6lgy5
10.1021/ic025593o,10.5517/cc6lgx4
10.1021/ic025593o,10.5517/cc6lh2b
10.1021/ic025593o,10.5517/cc6lh08
10.1021/ic025593o,10.5517/cc6lgz6
10.1039/b205721m,10.5517/cc69f2z
10.1039/c1dt10613a,10.5517/ccwksnv
10.1039/c1dt10613a,10.5517/ccwksmt
10.1039/c0cc01387k,10.5517/ccv2jzd
10.1039/c0cc01387k,10.5517/ccv2jxb
10.1039/c0cc01387k,10.5517/ccv2jyc
10.1039/b502854j,10.5517/cc8x37h
10.1039/b806202a,10.5517/ccp6yg8
10.1039/b806202a,10.5517/ccp6yf7
10.1039/b806202a,10.5517/ccqzm5g
10.1186/s13063-015-1033-2,10.6084/m9.figshare.c.3644429
10.1080/00958970500537838,10.5517/cc9cbsr
10.1006/jmbi.1995.0671,1qca
10.1038/nature12039,4j34
10.1038/nature12039,4j31
10.1038/nature12039,4j36
10.1038/nature12039,4j2w
10.1038/nature12039,4j33
10.1039/b001354o,10.5517/cc52lkc
10.1002/anie.200901718,10.5517/ccs9jsc
10.1002/anie.200901718,10.5517/ccs9jwg
10.1002/anie.200901718,10.5517/ccs9jzk
10.1002/anie.200901718,10.5517/ccs9jvf
10.1002/anie.200901718,10.5517/ccs9jrb
10.1002/anie.200901718,10.5517/ccs9jxh
10.1002/anie.200901718,10.5517/ccs9jtd
10.1002/anie.200901718,10.5517/ccs9jyj
10.1039/b005570k,10.5517/cc53bcy
10.1021/acs.inorgchem.5b00448,10.5517/cc1487n9
10.1021/acs.inorgchem.5b00448,10.5517/cc1487rd
10.1021/acs.inorgchem.5b00448,10.5517/cc1487k6
10.1021/acs.inorgchem.5b00448,10.5517/cc1487h4
10.1021/acs.inorgchem.5b00448,10.5517/cc1487l7
10.1021/acs.inorgchem.5b00448,10.5517/cc1487sf
10.1021/acs.inorgchem.5b00448,10.5517/cc1487vh
10.1021/acs.inorgchem.5b00448,10.5517/cc1487pb
10.1021/acs.inorgchem.5b00448,10.5517/cc1487j5
10.1021/acs.inorgchem.5b00448,10.5517/cc1487qc
10.1111/j.1420-9101.2012.02486.x,10.5061/dryad.11t6b14t
10.1016/j.ica.2011.01.007,10.5517/ccthy6f
10.1016/j.ica.2011.01.007,10.5517/ccthy5d
10.1016/j.ica.2011.01.007,10.5517/ccthy8h
10.1016/j.tetlet.2008.04.114,10.5517/ccqsl8b
10.1016/j.physletb.2012.10.082,10.17182/hepdata.65322
10.1016/j.physletb.2012.10.082,10.17182/hepdata.64482.v1
10.1016/j.physletb.2012.10.082,10.17182/hepdata.64482
10.1016/j.physletb.2012.10.082,10.17182/hepdata.65322.v1
10.1039/b511451a,10.5517/cc9f9qq
10.1039/b511451a,10.5517/cc9f9rr
10.1039/b511451a,10.5517/cc9f9nn
10.1039/b511451a,10.5517/cc9f9pp
10.1039/b511451a,10.5517/cc9f9mm
10.3390/molecules17021675,10.5517/ccy1zvs
10.1021/ol2029367,10.5517/ccxj3tb
10.1021/ol2029367,10.5517/ccxksw3
10.1021/om034146t,10.5517/cc7qq5t
10.1021/om034146t,10.5517/cc7qq2q
10.1021/om034146t,10.5517/cc7qq4s
10.1021/om034146t,10.5517/cc7qq6v
10.1021/om034146t,10.5517/cc7qq3r
10.1140/epjc/s10052-012-2168-x,10.17182/hepdata.59495.v1
10.1140/epjc/s10052-012-2168-x,10.17182/hepdata.59495
10.1140/epjc/s10052-012-2168-x,10.17182/hepdata.59038
10.1140/epjc/s10052-012-2168-x,10.17182/hepdata.59038.v1
10.1002/cbic.201402625,4d3f
10.1002/cbic.201402625,4d3s
10.1002/cbic.201402625,4d3d
10.1098/rspb.2016.1151,10.5061/dryad.6m3n9
10.1002/chem.201303275,10.5517/cczblsn
10.1002/chem.201303275,10.5517/cczblrm
10.1002/chem.201303275,10.5517/cczbltp
10.1002/chem.201303275,10.5517/cczblql
10.1039/c0dt01134g,10.5517/ccvkj74
10.1039/c0dt01134g,10.5517/ccvkjfb
10.1039/c0dt01134g,10.5517/ccvkj96
10.1039/c0dt01134g,10.5517/ccvkjc8
10.1039/c0dt01134g,10.5517/ccvkj63
10.1039/c0dt01134g,10.5517/ccvkjd9
10.1039/c0dt01134g,10.5517/ccvkjb7
10.1039/c0dt01134g,10.5517/ccvkj85
10.1039/c0dt01134g,10.5517/ccvkjhd
10.1039/b102212l,10.5517/cc5f9c7
10.1021/cm1010345,10.5517/ccr0c58
10.1021/cm1010345,10.5517/ccr7bx6
10.1021/cm1010345,10.5517/ccrfq73
10.1021/cm1010345,10.5517/ccs10tm
10.1021/cm1010345,10.5517/ccr0c8c
10.1039/c0dt01243b,10.5517/ccsbk4s
10.1039/c0dt01243b,10.5517/ccvj4yf
10.1016/j.ica.2004.11.004,10.5517/cc8fcxy
10.1039/c6dt02486f,10.5517/ccdc.csd.cc1l44tp
10.1039/c2dt32478d,10.5517/ccym49z
10.1021/bi301420m,2rsu
10.1016/j.tetlet.2016.12.060,10.5517/ccdc.csd.cc1lrzht
10.1006/jmbi.1999.3291,1dbi
10.1021/ic701366f,10.5517/cc6jqw9
10.1021/ic701366f,10.5517/cc6jqxb
10.1021/ic701366f,10.5517/cc6jqzd
10.1021/ic701366f,10.5517/cc6jqyc
10.1021/ic701366f,10.5517/ccqrhsq
10.1021/ic701366f,10.5517/cc6jr0g
10.1021/ic701366f,10.5517/ccqrhtr
10.1002/ejic.201000222,10.5517/cct43yz
10.1002/ejic.201000222,10.5517/cct43z0
10.1002/anie.201207903,10.5517/ccz1101
10.1002/anie.201207903,10.5517/ccz1112
10.1002/anie.201207903,10.5517/ccz10zz
10.1039/b313063k,10.5517/cc79q3b
10.1039/b313063k,10.5517/cc79knq
10.1186/s12875-016-0417-z,10.6084/m9.figshare.c.3638372
10.1039/b704737a,10.5517/ccpk6s6
10.1039/b704737a,10.5517/ccpk6t7
10.1080/00958972.2012.732694,10.5517/ccwz3xv
10.1186/s13063-017-1834-6,10.6084/m9.figshare.c.3706750
10.1021/ja402068j,10.5517/cc1118jw
10.1021/ja402068j,10.5517/cc1118kx
10.1021/ja402068j,10.5517/cc1118ly
10.1016/0370-2693(93)91815-5,10.17182/hepdata.48369
10.1016/0370-2693(93)91815-5,10.17182/hepdata.47815
10.1016/0370-2693(93)91815-5,10.17182/hepdata.48369.v1
10.1016/0370-2693(93)91815-5,10.17182/hepdata.47815.v1
10.1016/j.physletb.2015.09.051,10.17182/hepdata.71235
10.1016/j.physletb.2015.09.051,10.17182/hepdata.71237
10.1016/j.physletb.2015.09.051,10.17182/hepdata.71237.v1
10.1016/j.physletb.2015.09.051,10.17182/hepdata.71235.v1
10.1039/c2cc30220a,10.5517/ccxl50n
10.1039/c2cc30220a,10.5517/ccxl51p
10.1039/c2cc30220a,10.5517/ccxl4zl
10.1039/b202062a,10.5517/cc61kb3
10.1039/b202062a,10.5517/cc61kc4
10.1039/b202062a,10.5517/cc61k81
10.1039/b202062a,10.5517/cc61k92
10.1039/b202062a,10.5517/cc61kd5
10.1086/679347,10.5061/dryad.r0g9m
10.1073/pnas.1209451109,4hdv
10.1073/pnas.1209451109,4hdu
10.1140/epjc/s10052-011-1575-8,10.17182/hepdata.57532
10.1140/epjc/s10052-011-1575-8,10.17182/hepdata.57085.v1
10.1140/epjc/s10052-011-1575-8,10.17182/hepdata.57085
10.1140/epjc/s10052-011-1575-8,10.17182/hepdata.57532.v1
10.1002/asia.200900446,10.5517/cct11zv
10.1002/asia.200900446,10.5517/cct11tp
10.1002/asia.200900446,10.5517/cct11wr
10.1002/asia.200900446,10.5517/cct11xs
10.1002/asia.200900446,10.5517/cct120x
10.1002/asia.200900446,10.5517/cct11vq
10.1002/asia.200900446,10.5517/cct11yt
10.1016/j.crci.2010.04.013,10.5517/cctdcn6
10.1016/j.crci.2010.04.013,10.5517/cctdcm5
10.1140/epjc/s2006-02496-7,10.17182/hepdata.48442.v1
10.1140/epjc/s2006-02496-7,10.17182/hepdata.48442
10.1140/epjc/s2006-02496-7,10.17182/hepdata.48974
10.1140/epjc/s2006-02496-7,10.17182/hepdata.48974.v1
10.1002/anie.201302609,10.5517/cc1080dp
10.1002/anie.201302609,10.5517/cc1080gr
10.1002/anie.201302609,10.5517/cc1080cn
10.1002/anie.201302609,10.5517/cc1080fq
10.1021/jo9012282,10.5517/ccs6vkc
10.1021/jo9012282,10.5517/ccs6vld
10.1021/jo9012282,10.5517/ccs6vqj
10.1021/jo9012282,10.5517/ccs6vph
10.1021/jo9012282,10.5517/ccs6vmf
10.1021/jo9012282,10.5517/ccttmlt
10.1021/jo9012282,10.5517/ccs6vng
10.1021/ic100447m,10.5517/ccsycsv
10.1021/ic100447m,10.5517/ccsycln
10.1021/ic100447m,10.5517/ccsycjl
10.1021/ic100447m,10.5517/ccsycqs
10.1021/ic100447m,10.5517/ccsycpr
10.1021/ic100447m,10.5517/ccsycnq
10.1021/ic100447m,10.5517/ccsyckm
10.1021/ic100447m,10.5517/ccsycmp
10.1021/ic100447m,10.5517/ccsycrt
10.1021/ja0159362,10.5517/cc4pql3
10.1021/ja0159362,10.5517/cc58rtz
10.1021/ja0159362,10.5517/cc5d58z
10.1021/ja0159362,10.5517/cc5d0l4
10.1021/ja0159362,10.5517/cc50r41
10.1021/ja0159362,10.5517/cc5d590
10.1021/ja0159362,10.5517/cc4pqm4
10.1021/ja0159362,10.5517/cc5dww9
10.1021/ja0159362,10.5517/cc4r387
10.1021/ja0159362,10.5517/cc4y5fn
10.1039/b906000f,10.5517/ccsbvgd
10.1007/s002880050280,10.17182/hepdata.44709.v1
10.1007/s002880050280,10.17182/hepdata.44709
10.1002/anie.200502668,10.5517/cc9czsd
10.1140/epjc/s10052-007-0382-8,10.17182/hepdata.43276
10.1140/epjc/s10052-007-0382-8,10.17182/hepdata.43276.v1
10.1140/epjc/s10052-007-0382-8,10.17182/hepdata.43065.v1
10.1140/epjc/s10052-007-0382-8,10.17182/hepdata.43065
10.1039/b212209j,10.5517/cc6pl3k
10.1039/b212209j,10.5517/cc6pl5m
10.1039/b212209j,10.5517/cc6pl6n
10.1039/b212209j,10.5517/cc6pl4l
10.1039/b212209j,10.5517/cc5mdlr
10.1039/b212209j,10.5517/cc5mdkq
10.1038/sj.emboj.7600535,1y2o
10.1002/anie.201404898,10.5517/cc12l4b4
10.1002/anie.201404898,10.5517/cc12l493
10.1002/anie.201404898,10.5517/cc12l4d6
10.1002/anie.201404898,10.5517/cc12l4c5
10.1016/j.physletb.2014.06.076,10.17182/hepdata.64489
10.1016/j.physletb.2014.06.076,10.17182/hepdata.64489.v1
10.1111/1365-2435.12493,10.5061/dryad.82gq2
10.1016/0550-3213(77)90338-8,10.17182/hepdata.35426.v1
10.1016/0550-3213(77)90338-8,10.17182/hepdata.35426
10.1016/0550-3213(77)90338-8,10.17182/hepdata.35770
10.1016/0550-3213(77)90338-8,10.17182/hepdata.35770.v1
10.1016/j.molstruc.2008.03.026,10.5517/ccqnf92
10.1016/j.molstruc.2008.03.026,10.5517/ccqnfc4
10.1016/j.molstruc.2008.03.026,10.5517/ccqnfb3
10.1002/chem.201300968,10.5517/ccznfjk
10.1080/09613218.2016.1211838,10.6084/m9.figshare.3543248.v1
10.1080/09613218.2016.1211838,10.6084/m9.figshare.3543248
10.1002/anie.200461006,10.5517/cc7s8v3
10.1002/anie.200461006,10.5517/cc83xkt
10.1371/journal.ppat.1001244,2kt5
10.1002/anie.200460636,10.5517/cc7zz7d
10.1002/anie.200460636,10.5517/cc7zz8f
10.1038/nnano.2015.313,10.5281/zenodo.155321
10.1038/nnano.2015.313,10.5281/zenodo.130758
10.1002/anie.201606792,10.5517/ccdc.csd.cc1lptjm
10.1002/anie.201606792,10.5517/ccdc.csd.cc1lptfj
10.1002/anie.201606792,10.5517/ccdc.csd.cc1lptkn
10.1002/anie.201606792,10.5517/ccdc.csd.cc1lptgk
10.1002/anie.201606792,10.5517/ccdc.csd.cc1lpthl
10.1021/ja5047445,10.5517/ccdc.csd.cc12m8vt
10.1021/ja5047445,10.5517/ccdc.csd.cc12m8ts
10.1016/j.physletb.2016.09.040,10.17182/hepdata.75363
10.1016/j.physletb.2016.09.040,10.17182/hepdata.75363.v1
10.1021/jo401131p,10.5517/cc1jrkzt
10.1021/jo026827o,10.5517/cc729q9
10.1021/jo026827o,10.5517/cc729td
10.1021/jo026827o,10.5517/cc729sc
10.1021/jo026827o,10.5517/cc729rb
10.1021/jo026827o,10.5517/cc729p8
